baseline_commit,old_file,old_file_lines,definition,start_line,end_line,definition_lines
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,extend_highlight_rectangles,253,311,59
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,_selection_from_rawdict,348,392,45
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,context_from_blocks,432,456,25
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,_matching_core,459,493,35
4c6d7b6,app/adapters/pdf_selection_recovery.py,645,recover_local_pdf_selection,504,645,142
4c6d7b6,app/adapters/powerpoint_native.py,44,,,,
4c6d7b6,app/adapters/registry.py,54,,,,
4c6d7b6,app/adapters/uia_text_adapter.py,931,uia_app_from_window,91,114,24
4c6d7b6,app/adapters/uia_text_adapter.py,931,_compile_uia_probe,157,195,39
4c6d7b6,app/adapters/uia_text_adapter.py,931,_compile_uia_resident_host,232,269,38
4c6d7b6,app/adapters/uia_text_adapter.py,931,_resident_probe,315,360,46
4c6d7b6,app/adapters/uia_text_adapter.py,931,_run_uia_selection_probe,363,441,79
4c6d7b6,app/adapters/uia_text_adapter.py,931,is_cold_tree,504,540,37
4c6d7b6,app/adapters/uia_text_adapter.py,931,UiaTextSelectionAdapter.match_window,548,576,29
4c6d7b6,app/adapters/uia_text_adapter.py,931,UiaTextSelectionAdapter.read_context,578,931,354
4c6d7b6,app/agent_runtime/__init__.py,35,,,,
4c6d7b6,app/agent_runtime/activity_projection.py,354,completed_trajectory,22,69,48
4c6d7b6,app/agent_runtime/activity_projection.py,354,RuntimeActivitySink.__init__,78,111,34
4c6d7b6,app/agent_runtime/activity_projection.py,354,RuntimeActivitySink.__call__,142,354,213
4c6d7b6,app/agent_runtime/apply_patch.py,474,parse_patch,90,133,44
4c6d7b6,app/agent_runtime/apply_patch.py,474,_parse_update_body,152,195,44
4c6d7b6,app/agent_runtime/apply_patch.py,474,seek_sequence,224,243,20
4c6d7b6,app/agent_runtime/apply_patch.py,474,_near_miss_lines,255,297,43
4c6d7b6,app/agent_runtime/apply_patch.py,474,_other_match_lines,311,330,20
4c6d7b6,app/agent_runtime/apply_patch.py,474,_compute_replacements,333,392,60
4c6d7b6,app/agent_runtime/apply_patch.py,474,apply_patch_text,409,474,66
4c6d7b6,app/agent_runtime/ask_todo_tools.py,166,register_ask_user_question,22,107,86
4c6d7b6,app/agent_runtime/ask_todo_tools.py,166,register_todo_write,110,166,57
4c6d7b6,app/agent_runtime/background_job.py,53,run,12,49,38
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_numbered,79,107,29
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_rg_search,122,170,49
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_py_search,173,215,43
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_render_search,218,285,68
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_glob_files,303,335,33
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_do_search,338,375,38
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_normalized_quote_matches,422,444,23
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_state_mark_read,505,527,23
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_state_freshness,535,555,21
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_binary_guard,640,665,26
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_line_strategy_spans,701,730,30
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_locate_matches,757,783,27
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_plan_edits,786,851,66
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_preserve_quote_style,873,905,33
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_classify_command_effect,948,983,36
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_resolve_cd_target,1004,1041,38
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_run_shell,1055,1086,32
4c6d7b6,app/agent_runtime/coding_tools.py,1910,BackgroundJobs.start,1099,1151,53
4c6d7b6,app/agent_runtime/coding_tools.py,1910,_pid_alive,1171,1193,23
4c6d7b6,app/agent_runtime/coding_tools.py,1910,FileCheckpointStore._restore,1262,1291,30
